City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,west bay,19.3667,-81.4167,84.27,70,40,11.5,KY,1731184404
122,harstad,68.799,16.5293,38.16,89,41,8.99,NO,1731184406
123,tyuratam,45.6507,63.3156,34.81,84,10,11.12,KZ,1731184407
124,kampong thom,12.7111,104.8887,73.54,92,79,2.68,KH,1731184412
125,lagoa,39.05,-27.9833,67.86,86,100,4.56,PT,1731184413
126,berezivka,47.2043,30.9078,41.58,78,62,8.97,UA,1731184415
127,chimore,-16.9833,-65.1333,90.93,46,50,1.88,BO,1731184418
128,nogliki,51.8333,143.1667,27.84,74,75,8.79,RU,1731184419
129,la'ie,21.6477,-157.9253,78.12,75,30,7.0,US,1731184421
130,glace bay,46.1969,-59.957,38.98,80,99,18.99,CA,1731184423
131,palmer,42.1584,-72.3287,51.55,21,0,16.11,US,1731184425
132,santa terezinha,-29.9002,-50.0904,67.86,61,1,7.65,BR,1731184427
133,konduga,11.6558,13.4213,73.8,29,96,7.7,NG,1731184428
134,ust-nera,64.5667,143.2,-10.82,98,100,2.57,RU,1731184430
135,tazovsky,67.4667,78.7,18.0,94,100,21.5,RU,1731184432
136,nuku'alofa,-21.1333,-175.2,77.34,83,40,13.8,TO,1731184434
137,mizque,-17.941,-65.3402,75.34,49,83,12.93,BO,1731184436
138,ndola,-12.9587,28.6366,67.12,63,26,3.4,ZM,1731184215
139,olyokminsk,60.3736,120.4264,4.01,97,75,3.76,RU,1731184440
140,severo-yeniseyskiy,60.3725,93.0408,13.71,85,100,13.0,RU,1731184442
141,murray bridge,-35.1167,139.2667,52.83,80,100,4.16,AU,1731184444
142,avarua,-21.2078,-159.775,73.45,60,100,8.05,CK,1731184445
143,carutapera,-1.195,-46.02,79.79,78,56,9.82,BR,1731184447
144,srandakan,-7.9386,110.2506,78.15,88,100,2.93,ID,1731184449
145,yuzhno-kurilsk,44.0306,145.8556,39.25,80,18,1.48,RU,1731184451
146,iskateley,67.6803,53.1512,24.78,78,98,12.73,RU,1731184453
147,lebu,-37.6167,-73.65,57.0,74,100,7.61,CL,1731184455
148,tumayr,25.7039,45.868,67.37,38,2,7.63,SA,1731184457
149,china,25.7,-99.2333,74.25,61,100,10.76,MX,1731184459
150,at taraf,25.3628,49.725,72.14,56,3,7.0,SA,1731184461
151,taroa,8.7058,171.2275,83.26,77,98,24.79,MH,1731184466
152,tual,-5.6667,132.75,82.22,77,68,11.65,ID,1731184468
153,onguday,50.75,86.15,21.38,58,89,5.57,RU,1731184470
154,taulaga,-11.0553,-171.0883,82.31,72,12,3.51,AS,1731184472
155,bucerias,20.75,-105.3333,84.97,74,40,11.5,MX,1731184473
156,al kharijah,25.4514,30.5464,66.33,44,0,8.68,EG,1731184475
157,port elizabeth,-33.918,25.5701,60.31,93,57,6.26,ZA,1731184477
158,dakhla,23.6848,-15.958,75.22,53,97,6.91,EH,1731184479
159,talnakh,69.4865,88.3972,-3.46,96,50,5.68,RU,1731184481
160,yaren,-0.5472,166.916,82.09,66,7,10.71,NR,1731184483
161,las terrenas,19.311,-69.5428,85.87,79,40,6.91,DO,1731184485
162,vilyuysk,63.7553,121.6247,16.05,95,99,6.31,RU,1731184487
163,melendugno,40.2747,18.3368,55.06,93,0,2.3,IT,1731184489
164,ciudad lazaro cardenas,17.9583,-102.2,85.05,64,44,8.57,MX,1731184491
165,grammichele,37.2123,14.6397,56.59,85,99,3.4,IT,1731184493
166,tazacorte,28.629,-17.9293,70.77,83,20,4.61,ES,1731184495
167,igarka,67.4667,86.5833,11.98,88,100,14.79,RU,1731184497
168,isangel,-19.55,169.2667,76.82,62,1,8.84,VU,1731184499
169,kerikeri,-35.2268,173.9474,66.9,92,82,1.01,NZ,1731184501
170,kalmunai,7.4167,81.8167,76.66,89,96,10.85,LK,1731184503
171,kayangel,8.0823,134.7173,84.02,74,58,7.87,PW,1731184505
172,yarrawonga,-36.0167,146.0,58.41,32,63,4.27,AU,1731184507
173,ndjole,-0.1783,10.7649,74.16,98,100,1.23,GA,1731184509
174,ulanhot,46.0833,122.0833,44.55,51,100,19.73,CN,1731184511
175,lihue,21.9789,-159.3672,80.19,80,40,13.8,US,1731184513
176,laguna,38.421,-121.4238,69.22,32,0,1.01,US,1731184515
177,flying fish cove,-10.4217,105.6791,78.48,94,100,10.36,CX,1731184517
178,sydney mines,46.2367,-60.2177,39.0,76,75,24.16,CA,1731184519
179,alnwick,55.4132,-1.7056,47.68,87,100,3.44,GB,1731184521
180,dhuusamarreeb,5.535,46.3861,79.21,67,37,14.88,SO,1731184523
181,ferkessedougou,9.6,-5.2,79.27,44,93,1.63,CI,1731184527
182,west island,-12.1568,96.8225,78.78,83,40,14.97,CC,1731184529
183,lompoc,34.6391,-120.4579,72.14,33,0,12.66,US,1731184393
184,las tablas,7.7667,-80.2833,79.18,99,100,1.81,PA,1731184533
185,san antonio de pale,-1.4014,5.6325,79.29,82,63,14.38,GQ,1731184538
186,ta`u,-14.2336,-169.5144,80.6,82,87,19.8,AS,1731184540
187,bassar,9.25,0.7833,77.77,41,100,3.51,TG,1731184542
188,acapulco de juarez,16.8634,-99.8901,85.82,79,20,4.61,MX,1731184264
189,christchurch,-43.5333,172.6333,60.42,72,75,14.97,NZ,1731184546
190,bilibino,68.0546,166.4372,-8.48,98,99,0.89,RU,1731184547
191,ad dilam,23.9915,47.1627,71.15,38,2,5.75,SA,1731184549
192,nagqu,31.5,92.0,26.13,47,0,2.04,CN,1731184551
193,forster,-32.1667,152.5167,67.69,81,100,5.86,AU,1731184553
194,usogorsk,63.4106,48.6872,28.29,87,94,10.13,RU,1731184555
195,constantia,44.1833,28.65,41.7,86,87,16.98,RO,1731184557
196,lensk,60.7253,114.9278,19.09,92,100,9.8,RU,1731184559
197,egilsstadir,65.2653,-14.3948,51.71,66,0,14.97,IS,1731184561
198,nguigmi,14.2495,13.1092,75.24,22,57,10.45,NE,1731184562
199,novo aripuana,-5.1206,-60.3797,85.64,59,100,3.58,BR,1731184564
200,zyrya,40.3661,50.2917,53.69,71,41,9.73,AZ,1731184566
201,fallon,39.4735,-118.7774,56.1,36,0,3.44,US,1731184568
202,kiunga,-6.1219,141.2906,71.55,98,100,0.78,PG,1731184570
203,fort st. john,56.2499,-120.8529,37.29,56,20,5.75,CA,1731184572
204,uusikaupunki,60.8004,21.4084,41.07,93,62,4.52,FI,1731184574
205,island harbour,50.724,-1.2758,48.0,66,96,4.56,GB,1731184576
206,emerald,-23.5333,148.1667,75.34,74,61,15.88,AU,1731184578
207,labrador city,52.9463,-66.9114,22.91,63,75,8.05,CA,1731184580
208,oyama,36.3,139.8,52.92,56,85,3.83,JP,1731184582
209,jamestown,42.097,-79.2353,49.64,40,0,6.91,US,1731184584
210,jurm,36.8648,70.8342,42.15,98,100,1.16,AF,1731184586
211,mount gambier,-37.8333,140.7667,52.65,81,8,2.08,AU,1731184589
212,valparaiso,-33.0393,-71.6273,70.47,52,11,13.58,CL,1731184591
213,tqvarch'eli,42.8404,41.6801,46.26,59,0,6.44,GE,1731184593
214,afaahiti,-17.75,-149.2833,76.64,88,93,13.65,PF,1731184595
215,holualoa,19.6228,-155.9522,78.84,85,40,6.91,US,1731184597
216,qarazhal,48.0078,70.7903,25.84,87,100,23.09,KZ,1731184599
217,ayr,55.4627,-4.6339,44.58,81,75,8.05,GB,1731184601
218,st. thomas,42.7736,-81.1804,49.23,53,100,8.5,CA,1731184603
219,kristiansund,63.1115,7.732,47.12,93,100,2.3,NO,1731184605
220,den burg,53.0542,4.7972,44.58,100,75,9.22,NL,1731184607
221,gadzhiyevo,69.2551,33.3362,36.72,78,98,23.8,RU,1731184609
222,hargeysa,9.56,44.065,65.98,78,0,8.12,SO,1731184611
223,kainantu,-6.2887,145.8655,62.19,92,58,1.45,PG,1731184613
224,pandan,14.0453,124.1694,79.99,88,100,12.26,PH,1731184615
225,viedma,-40.8135,-62.9967,82.9,19,99,14.41,AR,1731184616
226,karratha,-20.7377,116.8463,81.16,28,77,9.01,AU,1731184618
227,cabo san lucas,22.8909,-109.9124,81.75,49,0,9.22,MX,1731184572
228,narasapur,16.45,81.6667,75.22,84,5,6.24,IN,1731184624
229,st. john's,47.5649,-52.7093,41.97,90,75,14.97,CA,1731184626
